time period,count period,rate period
1002225264,2100000,2095337.3212910746
1000961124,2420000,2417676.3132710834
1000086428,2380000,2379794.319136586
1000168462,2450000,2449587.33761793
1003961980,2490000,2480173.6017931676
1000074724,2220000,2219834.125114835
1000222370,2190000,2189513.1179679576
1000075547,2210000,2209833.053742289
1004416855,1970000,1961337.0586060106
1001708510,2090000,2086435.3044180486
1002952229,2190000,2183553.649592617
1001173735,2060000,2057584.9405398155
1000074385,2020000,2019849.7534760877
1002819997,2370000,2363335.4012584575
1000983856,1700000,1698329.0887360726
1001052768,1810000,1808096.493870341
1000416063,2320000,2319035.135284508
1000577585,2270000,2268689.638894919
1002346139,1900000,1895552.7697204011
1000208136,2110000,2109560.9244274334
1002457215,1900000,1895342.7354004332
1000979228,1760000,1758278.2447109881
1001868689,2290000,2285728.683951316
1005470958,1850000,1839933.7994603717
1005435292,2050000,2038917.8859259696
1002320136,2370000,2364514.005932332
1000078331,2410000,2409811.237075988
1001976525,1850000,1846350.641797721
1000085138,2030000,2029827.1845731598
1000075386,2430000,2429816.825828768
1004812949,2050000,2040180.714271428
1000670680,2280000,2278471.8744832217
1000280067,2480000,2479305.6283105956
1021597407,1460000,1429134.4026483027
1000470771,1650000,1649223.5933597304
1002093825,2200000,2195403.2098740856
1004570273,2390000,2379126.7412907016
1000301363,1860000,1859439.6336936713
1001368909,2090000,2087142.8913117973
1000712509,2050000,2048540.3965306084
1000270991,2260000,2259387.726260673
1000073615,2560000,2559811.5594720496
1005100753,2210000,2198784.5431451984
1002331687,1910000,1905556.8378933228
1000809836,2300000,2298138.8843984143
1000386988,2430000,2429059.982935324
1004651205,1820000,1811573.9979628052
1000266979,1870000,1869500.8825238845
1000118620,2100000,2099750.9275449743
1001810658,1760000,1756819.0016201646
1004262627,2160000,2150831.806270134
1005516534,1530000,1521606.008718301
1000249940,1890000,1889527.7314388042
1003090478,2440000,2432482.466452044
1000368872,2270000,2269162.9693171824
1004274017,2330000,2320083.9218764734
1000074636,2000000,1999850.7391402337
1002201656,2170000,2165232.9019899364
1000074953,1980000,1979851.6041827118
1000076925,2200000,2199830.778017401
1004303735,2270000,2260272.3866201695
1007440834,1920000,1905819.1163214254
1002215829,1900000,1895799.2330811608
1002546796,2470000,2463725.3940214077
1002494501,2320000,2314227.158040042
1001838490,2030000,2026274.7142006895
1002166712,2040000,2035589.4638815343
1009142411,2060000,2041337.2558177023
1001320107,1200000,1198417.9600619965
1001899832,1790000,1786605.7492262358
1001516059,2030000,2026927.0589898748
1000075336,2360000,2359822.220433201
1001984152,2440000,2435168.256034453
1000154693,2390000,2389630.340913673
1000909048,2130000,2128065.4863257864
1001213914,1910000,1907684.2353990697
1002089514,1870000,1866100.7563442083
1000075694,1940000,1939853.1647545472
1000114314,2020000,2019769.112113718
1001797196,2280000,2275909.7441115216
1028242643,1700000,1653306.2614871536
1001947462,1790000,1786520.8185935803
1001579723,2390000,2386230.4169270806
1001013579,2360000,2357610.375633076
1004175966,1890000,1882140.2463241187
1000072072,2190000,2189842.1736948574
1001229543,1980000,1977568.4945005663
1001328396,2170000,2167121.204859949
1000201607,2420000,2419512.209401999
1001004763,2270000,2267721.477365238
1009166072,1430000,1417011.5699252323
1000077698,2410000,2409812.76236799
1001330753,2360000,2356863.5966981035
1002343144,1930000,1925488.3036342694
1003555307,1880000,1873339.7022432366
1003694654,1800000,1793374.10319613
1001373778,1610000,1607791.2517497537
1001548299,1960000,1956970.0252668494
1002344417,2420000,2414339.7807741766
1000385234,2190000,2189156.6624223087
1001886312,2420000,2415443.7195265326
1000756238,2440000,2438156.1736515504
1000083770,2130000,2129821.584845837
1002111612,1400000,1397049.972513441
1005261900,1390000,1382724.2433041579
1001002467,1360000,1358638.010229799
1003759273,1330000,1325018.8922538601
1000090839,1750000,1749841.046189205
1001858707,2070000,2066159.614661112
1002091876,2460000,2454864.727393519
1001031407,2470000,2467455.049589668
1000241225,2340000,2339435.6696305936
1000168100,1910000,1909678.9829629639
1001750422,1710000,1707012.0086258373
1003040609,1460000,1455574.1680843553
1005934221,1630000,1620384.2815682478
1000073964,1680000,1679875.7496700513
1003423263,2480000,2471539.271060332
1000766783,1630000,1628751.101344258
1000072382,2430000,2429824.1244702227
1000807435,2300000,2298144.39777818
1003822555,1880000,1872840.9624149161
1004075007,1930000,1922167.1553866295
1001094111,2060000,2057748.5946273836
1000652555,1490000,1489028.327119996
1000318620,2180000,2179305.629640284
1000523748,1620000,1619151.9723927632
