runtime,nr. points,bytes,time taken,mbs,ps
161548976786,10000,161640,0.02601215,6.15097175742874,384435.73483929626
161606718242,10000,161640,0.025680667,6.230367770432131,389397.98565200815
161664006474,10000,161640,0.026130544,6.123102527065644,382693.90794160275
161722039766,10000,161640,0.025472746,6.281223076616867,392576.4422885542
161778773364,10000,161640,0.025632681,6.24203141294506,390126.96330906625
161836004510,10000,161640,0.025350197,6.311588032235015,394474.25201468845
161892720638,10000,161640,0.025743087,6.215260819341518,388453.8012088449
161949875482,10000,161640,0.025619464,6.245251657099462,390328.2285687163
162006987920,10000,161640,0.025601044,6.249745127581516,390609.07047384477
162063855480,10000,161640,0.025453969,6.285856637917647,392866.0398698529
162120561048,10000,161640,0.025760272,6.211114541026585,388194.65881416155
162178106888,10000,161640,0.025467782,6.282447368208193,392652.9605130121
162234950516,10000,161640,0.025568149,6.25778580999352,391111.613124595
162291713542,10000,161640,0.025930062,6.170444174024728,385652.7608765455
162349287786,10000,161640,0.026211792,6.104122907735571,381507.6817334732
162407799212,10000,161640,0.026070408,6.137226544364016,383576.65902275103
162466048162,10000,161640,0.025790042,6.203944917964849,387746.55737280304
162523655024,10000,161640,0.0255592,6.259976838085699,391248.5523803562
162580842924,10000,161640,0.025699617,6.225773714837851,389110.8571773657
162637898218,10000,161640,0.025831996,6.193869029710286,387116.8143568929
162695271922,10000,161640,0.025537827,6.265215908933834,391575.99430836464
162752176254,10000,161640,0.025807264,6.199804830143947,387487.8018839967
162809797654,10000,161640,0.025570001,6.257332567175105,391083.2854484441
162866854092,10000,161640,0.025867027,6.185480844010407,386592.55275065044
162924274588,10000,161640,0.025434692,6.290620700262461,393163.7937664038
162980763878,10000,161640,0.025727102,6.219122542445705,388695.1589028566
163038242016,10000,161640,0.025448852,6.287120534945938,392945.0334341211
163095050278,10000,161640,0.025790142,6.203920862475282,387745.05390470516
163152655766,10000,161640,0.025413906,6.2957657905872475,393485.36191170296
163209382498,10000,161640,0.025697754,6.226225062314784,389139.066394674
163266429354,10000,161640,0.025403494,6.298346203872586,393646.6377420366
163323005146,10000,161640,0.026121164,6.125301307399625,382831.33171247656
163381011218,10000,161640,0.026007683,6.152028229504336,384501.764344021
