runtime,nr. points,bytes,time taken,mbs,ps
60909434,10000,161640,0.004950897,32.31737602297119,2019836.0014356994
76257704,10000,161640,0.004912408,32.57058452799523,2035661.532999702
91313668,10000,161640,0.004859359,32.92615342887817,2057884.5893048858
106229738,10000,161640,0.00486928,32.85906745966549,2053691.7162290933
121150310,10000,161640,0.004903216,32.63164421065684,2039477.7631660525
136166446,10000,161640,0.005109067,31.316872532695303,1957304.5332934565
151927810,10000,161640,0.004903751,32.62808409317684,2039255.2558235524
167056856,10000,161640,0.004999493,32.00324512905609,2000202.8205660055
182270648,10000,161640,0.004899421,32.65692007280044,2041057.5045500274
197278454,10000,161640,0.004835948,33.08555013412055,2067846.8833825344
211994924,10000,161640,0.005004984,31.96813416386546,1998008.3852415914
227241012,10000,161640,0.004848072,33.002810189287615,2062675.636830476
242072490,10000,161640,0.004880505,32.78349269184234,2048968.2932401462
256926866,10000,161640,0.005079375,31.49993847668266,1968746.1547926664
272373650,10000,161640,0.004882018,32.77333266694224,2048333.2916838897
287321988,10000,161640,0.004885745,32.74833213767808,2046770.75860488
302191816,10000,161640,0.005131074,31.182555542952606,1948909.7214345378
317820710,10000,161640,0.004920625,32.516194589102,2032262.1618188748
332865202,10000,161640,0.004862675,32.90370012390299,2056481.2577439372
347660402,10000,161640,0.005163064,30.989350509697342,1936834.4068560838
363355712,10000,161640,0.004960978,32.2517052081263,2015731.575507894
378537320,10000,161640,0.004985408,32.09366214359988,2005853.8839749924
393700238,10000,161640,0.005088057,31.446188594192243,1965386.7871370153
409193274,10000,161640,0.004904488,32.62318105376137,2038948.8158600857
424183942,10000,161640,0.00492997,32.45455854700941,2028409.9091880885
439179840,10000,161640,0.005024459,31.844224422967724,1990264.0264354828
454459646,10000,161640,0.004880073,32.78639479368444,2049149.6746052774
469453432,10000,161640,0.004897519,32.66960271108698,2041850.169442936
484352036,10000,161640,0.005064797,31.59060471722756,1974412.7948267225
499775376,10000,161640,0.004922737,32.502244178391,2031390.2611494379
514826570,10000,161640,0.004923364,32.49810495425485,2031131.5596409282
529804976,10000,161640,0.005032298,31.79461947603262,1987163.7172520387
545108910,10000,161640,0.004880897,32.78085974770621,2048803.734231638
560050624,10000,161640,0.005015918,31.89844810062684,1993653.0062891776
575303442,10000,161640,0.00501442,31.907977393198014,1994248.5870748758
590572972,10000,161640,0.004923194,32.49922712775487,2031201.6954846794
605623314,10000,161640,0.004928411,32.46482486951677,2029051.554344798
620613340,10000,161640,0.005042818,31.728291602036798,1983018.2251272998
635968230,10000,161640,0.005051935,31.671032980432255,1979439.5612770158
651408168,10000,161640,0.004962989,32.23863683759928,2014914.8023499548
666503566,10000,161640,0.005056575,31.64197109703703,1977623.1935648143
681893740,10000,161640,0.004942995,32.36903941840928,2023064.96365058
697006014,10000,161640,0.005019368,31.87652310011938,1992282.6937574612
712281150,10000,161640,0.005048838,31.6904602603609,1980653.7662725563
727656518,10000,161640,0.004868603,32.86363665306044,2053977.2908162773
742540814,10000,161640,0.004921475,32.51057863750197,2031911.1648438731
757524530,10000,161640,0.005144289,31.102451670191936,1943903.229386996
773184302,10000,161640,0.004868748,32.86265791534086,2053916.119708804
788069716,10000,161640,0.004877984,32.80043558978463,2050027.2243615394
802909408,10000,161640,0.005078891,31.502940307244238,1968933.7692027648
818371674,10000,161640,0.004917882,32.53433083591676,2033395.6772447976
833401264,10000,161640,0.004895016,32.68630786906518,2042894.241816574
848292464,10000,161640,0.005133521,31.16769172659467,1947980.7329121667
863918238,10000,161640,0.004911332,32.577720260002785,2036107.516250174
878927182,10000,161640,0.00491951,32.52356433872479,2032722.7711702995
893890876,10000,161640,0.005052183,31.66947832253899,1979342.395158687
909268056,10000,161640,0.004945196,32.35463265763379,2022164.541102112
924387792,10000,161640,0.004826418,33.150879182035204,2071929.9488772005
