time period,count period,rate period
1002656881,540000,538569.0860281445
1000526006,573000,572698.7570176162
1000855503,681000,680417.9004449158
1000048916,709000,708965.3202523947
1000413208,637000,636736.8952209995
1001524631,643000,642021.1546449724
1000045313,706000,705968.0104715416
1016199910,738000,726235.0574307765
1000038649,820000,819968.3090448237
1000571754,667000,666618.8580014622
1000308619,687000,686788.0441605992
1000550274,741000,740592.4712184927
1000175231,512000,511910.2974466681
1000083921,685000,684942.5189388681
1003165740,712000,709753.1062015734
1000083991,608000,607948.9377607686
1002304975,725000,723332.7361265467
1000516384,709000,708634.0727030013
1000965664,590000,589430.8078883314
1000725341,715000,714481.7570878321
1000047533,706000,705966.4432970508
1000598747,722000,721567.9633466501
1000498578,727000,726637.7144216191
1000047683,629000,628970.0088230693
1000681350,813000,812446.439618366
1008043488,778000,771792.0995091037
1000049189,598000,597970.5864248243
1000803290,606000,605513.5969826798
1000192355,825000,824841.3376444974
1000313028,760000,759762.1731664579
1001121711,796000,795108.1184773147
1000050326,726000,725963.4651626522
1002959811,631000,629137.8708094616
1000145375,772000,771887.7868129921
1000804767,759000,758389.6730180143
1000659016,687000,686547.5541770365
1000337562,670000,669773.909779467
1000937886,739000,738307.5516835817
1000999725,672000,671328.8557596756
1000063404,697000,696955.8102138091
1000066742,598000,597960.09094761
1000049273,765000,764962.3080121974
1000656003,624000,623590.9224840776
1003472603,632000,629812.9097999898
1000045904,669000,668969.2916336368
1000352683,632000,631777.1829277935
1000119004,707000,706915.8741833087
1000049337,732000,731963.8870977022
1000047327,756000,755964.2224812426
1000553615,738000,737591.6581941488
1000049663,655000,654967.4723504207
1000469517,773000,772637.2336839525
1000037909,693000,692973.7300588673
1000106339,707000,706924.8263208938
1000047181,651000,650969.286618088
1000057335,767000,766956.0265762163
1000058614,703000,702958.796773086
1000047432,706000,705966.5145962797
1000357562,672000,671759.8042208832
1000640980,748000,747520.8540829499
1002929363,646000,644113.1587449594
1000362316,611000,610778.7051026821
1000080552,787000,786936.6106821364
1000051467,690000,689964.4895976138
1000494538,615000,614696.0094648713
1000475823,725000,724655.1923923903
1000051374,703000,702963.885933324
1000381099,681000,680740.5704493424
1000057437,747000,746957.0970252182
1004409074,680000,677014.9908064251
1000127045,592000,591924.798913922
1000055895,740000,739958.6400118165
1000669853,714000,713522.0451175119
1000677649,696000,695528.6756884484
1000055035,801000,800955.9193909764
1000068486,674000,673953.8435970674
1000117608,739000,738913.0979083811
1000074036,707000,706947.6604230129
1000061334,590000,589963.815159361
1000057219,761000,760956.458832382
1000297361,607000,606819.555530148
1003308831,832000,829256.1316048059
1000527079,581000,580693.9284248997
1000306111,640000,639804.1489121723
1000055647,756000,755957.9332088907
1000396925,719000,718714.7241581136
1000098888,675000,674933.257200062
1001912595,733000,731600.7440748861
1000259523,587000,586847.6995244763
1003449126,750000,747422.0471840841
1000582934,753000,752561.3064273989
1000038223,551000,550978.9399319789
1001052680,672000,671293.342923771
1000049405,671000,670966.8508827322
1011241124,347000,343142.6904667694
1000073863,323000,322976.1440130748
1000076859,446000,445965.72352045594
1005716061,500000,497158.2133259777
1001102018,443000,442512.3434323154
1000057910,362000,361979.03779392136
1000309142,526000,525837.4415616407
1000045345,564000,563974.4265796267
1000846593,678000,677426.4954709199
1007736232,712000,706534.0883764116
1000737436,495000,494635.23816850595
1000970715,500000,499515.1131869028
1000042414,467000,466980.1935020728
1020232726,469000,459699.0353747975
1001121509,409000,408541.8166757218
1001134837,482000,481453.6286084709
1002674768,455000,453786.22712085635
1001841048,438000,437195.10283032444
1002640166,438000,436846.6523213274
1004410958,696000,692943.4555213206
1033623159,668000,646270.3492888747
1001980291,681000,679654.0871281469
1000495866,778000,777614.4074542333
1001267068,543000,542312.8527383066
1000268112,740000,739801.6502999347
1001222673,741000,740095.1056968323
1000052560,662000,661965.2071087143
1000538923,533000,532712.9087610719
1000334508,751000,750748.8684974967
1000095195,834000,833920.614927062
1000167007,828000,827861.7412941718
1001174668,649000,648238.5349366431
1000043396,741000,740967.8449594002
1005678456,646000,642352.4299898098
1000183862,776000,775857.3493160399
1000120427,872000,871895.0003007988
1000100404,893000,892910.3482293963
1001293876,718000,717072.197493396
1002298303,574000,572683.7991064623
1000454132,781000,780645.4839051032
1000049507,733000,732963.7131654524
1000523632,593000,592689.6487338542
1000534865,778000,777584.0974817004
1000647704,671000,670565.671932027
1000151251,578000,577912.5901428284
1000440988,675000,674702.464309669
1000470942,747000,746648.3719224301
