time period,count period,rate period
1008837107,1890000,1873444.173381303
1002229461,2270000,2264950.3814576054
1000555711,2410000,2408661.4803201095
1001302233,2260000,2257060.7809680174
1001481891,2210000,2206729.8668708527
1002101048,2200000,2195387.3857239992
1004152661,2410000,2400033.4745913697
1000437676,2280000,2279002.535286366
1001725784,1920000,1916692.2032626844
1000875853,1850000,1848381.0898772879
1001292546,2000000,1997418.2450370505
1000977418,1790000,1788252.1301794243
1001717105,2060000,2056468.8270946518
1002819393,2290000,2283561.7420095108
1002528699,1550000,1546090.40274467
1000416372,1580000,1579342.4060437107
1000220872,2210000,2209511.9806698053
1001299139,2350000,2346950.984445019
1002080791,2000000,1995847.059401421
1003927151,1850000,1842763.190692907
1002310246,1510000,1506519.569191354
1004598776,1380000,1373682.7407800865
999979281,2230000,2230046.2043273076
1012526284,1740000,1718473.9077845016
1000179283,2090000,2089625.365695562
1001802517,2370000,2365735.721145129
1000544253,2420000,2418683.6241814885
1001893948,2010000,2006200.3608389897
1001024272,2130000,2127820.533007016
1000015543,1950000,1949969.6916210833
1002632190,2490000,2483463.053385509
1001703612,2270000,2266139.3777623717
999979825,2330000,2330047.0086984006
1010825296,1460000,1444364.3286109453
1001346290,1760000,1757633.7153054213
1000456604,2410000,2408900.086584865
1001910054,2400000,2395424.6096426533
1002910154,2070000,2063993.4611729935
1002785338,2050000,2044305.917045628
1001685025,2220000,2216265.5371632413
1002211692,2360000,2354791.925536626
1000669747,2270000,2268480.691862067
1002155180,2070000,2065548.3714607952
999982988,2030000,2030034.5349475087
1000645574,2420000,2418438.718842522
1002316472,2400000,2394453.315938322
1000793347,2110000,2108327.3648101096
1001887723,1910000,1906401.2425272525
1000583136,1960000,1958857.7195448556
1000100195,1870000,1869812.6541211205
999976985,2460000,2460056.618203068
1002487890,1540000,1536178.157723182
1001872958,1860000,1856522.8107494242
1002608933,2310000,2303989.04694379
1000210561,2240000,2239528.4426515866
1000455510,2020000,2019080.2887376768
1003164162,1910000,1903975.5130327314
1001843631,2000000,1996319.5234406793
1003229022,2060000,2053369.6243089747
999980666,2010000,2010038.8620913597
999980417,2390000,2390046.8042865684
1006337252,2050000,2037090.4445063712
999979540,1810000,1810037.0333577024
1003546645,2270000,2261977.568566332
1001543404,2320000,2316424.8206660845
1003229764,1770000,1764301.721813748
1002347744,1880000,1875596.57938433
1000600883,2210000,2208672.8460342567
1004489174,1870000,1861642.7617168128
1004119049,1770000,1762739.1908984687
999981933,2500000,2500045.168316056
999981512,2550000,2550047.145271622
1000564659,2650000,2648504.4980986086
1002006359,2710000,2704573.6543075177
999980549,2190000,2190042.598518584
1003333566,1780000,1774085.9673382042
999978823,1420000,1420030.0719768342
999976833,1490000,1490034.5196297164
1002519580,1570000,1566054.2011558518
999981007,2530000,2530048.0532026743
1000989135,2750000,2747282.5666584284
1000091291,2630000,2629759.9265865423
1002382277,2540000,2533963.3972798185
1001000521,2590000,2587411.2407180257
1001705979,2270000,2266134.022945669
1004385689,2150000,2140611.941753782
1002731665,1960000,1954660.5222644485
999977058,1910000,1910043.8202253236
1004084114,2110000,2101417.5710781137
1001457808,2340000,2336593.695018652
1014734943,1510000,1488073.3243853613
1002797374,2340000,2333472.404964634
999984040,2380000,2380037.985406247
999981310,2000000,2000037.3806986453
1002811904,1490000,1485822.0111435773
1001484722,1490000,1487791.04390571
1000130039,1640000,1639786.7637690261
1000038632,1930000,1929925.4431202812
1001426136,2520000,2516411.2553179855
1000353198,2560000,2559096.1323642414
1002445057,2560000,2553755.921208557
1001426418,2550000,2546367.8151139007
1001907877,2290000,2285639.2813847493
999980282,1860000,1860036.6762031813
1001392742,1720000,1717607.8154558865
