time period,count period,rate period
1003214336,3300000,3289426.6774114356
1001670899,3430000,3424278.376684676
1001270085,3330000,3325775.98181214
1001674871,2880000,2875184.436966873
1000070245,3080000,3079783.660596761
1000352776,3230000,3228860.9353546696
1000070042,3180000,3179777.2820396116
1000070103,3170000,3169777.7890676525
1000338688,3210000,3208913.179613023
1000816439,3300000,3297307.9491952667
1000088984,3460000,3459692.142754369
1000316486,3430000,3428914.796471724
1001492484,3100000,3095380.194585664
1000571697,3310000,3308108.764143865
1000069890,3270000,3269771.475671565
1001246120,3200000,3196017.3788239
1003631213,3210000,3198385.9792531184
1000178857,2630000,2629529.690208198
1001515942,3140000,3135247.1471692263
1001763508,3110000,3104525.145070467
1000102314,3380000,3379654.214058743
1000345965,3270000,3268869.0857067634
1001880939,3080000,3074217.584251296
1000213429,3260000,3259304.3699276308
1000877702,3130000,3127255.2018548218
1000842401,3180000,3177323.419574027
1004359061,3320000,3305590.7283739834
1001462150,3330000,3325138.1492550666
1001149231,3030000,3026521.827293897
