runtime,nr. points,bytes,time taken,mbs,ps
101011029010,10000,161640,0.005608277,28.5292613043186,1783078.8315199125
101028060116,10000,161640,0.005819263,27.494890676018596,1718430.6672511622
101045720988,10000,161640,0.005666297,28.237136175530512,1764821.010970657
101063043512,10000,161640,0.005642682,28.355310471155384,1772206.9044472114
101080178786,10000,161640,0.005729196,27.92712974036846,1745445.6087730287
101097590168,10000,161640,0.005713484,28.00392895123186,1750245.5594519912
101115023670,10000,161640,0.005691055,28.114295152656226,1757143.4470410142
101132300634,10000,161640,0.005724317,27.95093283617941,1746933.302261213
101149678068,10000,161640,0.005456239,29.324228649074943,1832764.2905671839
101166373342,10000,161640,0.005610446,28.51823188388232,1782389.4927426449
101183411618,10000,161640,0.005775208,27.704629859218922,1731539.3662011826
101200963446,10000,161640,0.005729339,27.926432700177106,1745402.0437610692
101218446426,10000,161640,0.005607409,28.533677497040077,1783354.8435650049
101235473824,10000,161640,0.005743522,27.857471426069228,1741091.9641293269
101252909286,10000,161640,0.005661101,28.263053423706804,1766440.8389816752
101270267284,10000,161640,0.005667106,28.233105221606937,1764569.0763504335
101287474194,10000,161640,0.005728813,27.92899680963578,1745562.3006022363
101304885470,10000,161640,0.005472492,29.23713730417514,1827321.0815109462
101321604094,10000,161640,0.005670043,28.218480882772848,1763655.055173303
101338817150,10000,161640,0.005787592,27.645348877391495,1727834.3048369684
101356383396,10000,161640,0.005753095,27.81111732032932,1738194.8325205825
101373964450,10000,161640,0.005554265,28.806691794503863,1800418.2371564915
101390833138,10000,161640,0.005735398,27.896930605338984,1743558.1628336865
101408258492,10000,161640,0.005602627,28.558031794727725,1784876.9871704828
101425358986,10000,161640,0.005619738,28.471078189054367,1779442.386815898
101442422060,10000,161640,0.005561388,28.769796317034526,1798112.269814658
101459313754,10000,161640,0.005504902,29.065004245307186,1816562.765331699
101476155590,10000,161640,0.005593725,28.603479792088457,1787717.4870055285
101493142322,10000,161640,0.005743884,27.85571574913421,1740982.234320888
101510617640,10000,161640,0.005633156,28.40326097839293,1775203.811149558
101527814586,10000,161640,0.005551718,28.81990763940099,1801244.227462562
101544672528,10000,161640,0.005749496,27.828526187338856,1739282.8867086784
