time period,count period,rate period
1002920803,726000,723885.6725559415
1000858620,738000,737366.8820477362
1001064639,729000,728224.7035798056
1000102938,623000,622935.876226773
1000531797,701000,700627.4084460706
1000265845,622000,621834.6883572737
1002939590,509000,507508.1341638932
1010225679,600000,593926.6962545703
1000122662,673000,672917.4585986933
1001674751,714000,712806.2270584278
1000116745,588000,587931.3619531489
1000104340,799000,798916.6410376742
1000417433,698000,697708.7533419662
1000835721,760000,759365.3824032525
1000657658,668000,667560.9731854968
1003611848,710000,707444.8168531386
1000350091,782000,781726.3246492771
1000565075,775000,774562.3142003033
1000133574,785000,784895.1584141101
1000211434,799000,798831.0999452142
1001957539,731000,729571.8346803117
1000325692,596000,595805.9507682823
1000104280,692000,691927.8457642437
1000114887,597000,596931.4203399114
1000267257,711000,710810.0310435335
1000125181,734000,733908.1286465479
1000107450,689000,688925.9749039966
1000511170,590000,589698.56378515
1000751151,742000,741443.0643008074
1000129886,717000,716906.8838324865
1000161286,675000,674891.1495060608
1000210030,734000,733845.8703518499
1000641133,746000,745522.0212299627
1000177127,740000,739868.9492326293
1000639482,749000,748521.3340802398
1001881286,661000,659758.8049967829
1000662355,805000,804467.1571561218
1002432450,714000,712267.4450532802
1000841913,674000,673433.027979115
1000104078,811000,810915.6015260244
1001847853,631000,629836.1553707897
1001174638,709000,708168.1587703184
1000107249,785000,784915.8185633749
1000094672,750000,749929.0027214545
1000707626,676000,675521.9830812002
1000408422,425000,424826.4915146826
1000335769,705000,704763.3623106002
1000177455,732000,731870.125986793
1000105465,765000,764919.3277830953
1000104507,750000,749921.6279404288
1000653856,843000,842449.1595623252
1000730537,620000,619547.3977027244
1003754802,877000,873719.356811605
1000095447,789000,788924.6995042063
1000338539,624000,623788.8231555978
1000223786,764000,763829.0657486924
1001668279,765000,763725.8921323993
1000097370,765000,764925.5192021953
1000191419,694000,693867.1806381494
1001294081,718000,717072.0506835794
1000548915,663000,662636.2690123951
1000102611,666000,665931.6680856061
1000645140,746000,745519.0358492122
1004631775,708000,704735.8222369584
1002056638,595000,593778.8119317862
1000109879,636000,635930.1246338353
1000433706,725000,724685.6994640284
1000363469,725000,724736.5807197423
1000576877,680000,679607.9498047404
1000189989,743000,742858.8649871
1000516033,731000,730622.9744346335
1000164784,721000,720881.2103106402
1000136052,700000,699904.77655534
1001117162,534000,533404.1012074869
1000857170,671000,670425.3315185822
1003075223,663000,660967.3779171794
1000809945,649000,648474.7711015202
1000656068,691000,690546.954240825
1000105484,590000,589937.7710041633
1001507159,733000,731896.9149775194
1000392728,758000,757702.4290404478
1000093922,695000,694934.7303402569
1000315942,602000,601809.8629882677
1000805125,726000,725415.9494836719
1000294114,676000,675801.2373948649
1000729682,677000,676506.3654822222
1000197440,636000,635874.45294801
1001108668,709000,708214.8248865226
1000316984,624000,623802.2646629382
1012525166,702000,693316.1007476627
1001194949,674000,673195.5656320435
1000101632,686000,685930.2875330175
1000295010,692000,691795.913287621
1000300607,615000,614815.1822525086
1016474474,348000,342359.8023377417
1003677060,281000,279970.53155723214
1000094777,432000,431959.0602161499
1000815880,438000,437642.935881473
1000420146,357000,356850.0708701242
1000965892,452000,451563.8381012887
1010771996,393000,388811.72168921074
1000353834,403000,402857.45533514896
1000707177,459000,458675.63514036837
1001322935,488000,487355.2606682279
1000095679,488000,487953.3131149545
1056041656,481000,455474.45715531503
1009891912,500000,495102.489740506
1001255867,472000,471407.9742815629
1000173457,485000,484915.88794482476
1000414404,479000,478801.5827089191
1005371904,528000,525178.789957512
1001804561,618000,616886.7901570675
1000287314,679000,678804.9698288987
1000144287,763000,762889.9249014058
1001327850,655000,654131.4116051001
1001110926,613000,612319.758060457
1000241891,768000,767814.2726377774
1002030411,736000,734508.6455664468
