time period,count period,rate period
1002431003,598000,596549.7856813592
999966068,754000,754025.5855961705
1000430692,813000,812649.9981469981
1001497195,518000,517225.6123992439
1000456775,794000,793637.4862372241
1000068363,643000,642956.0455958549
1007452696,675000,670006.6441630723
999951262,573000,573027.9282351664
999967270,723000,723023.6645645412
1000013794,756000,755989.5718798455
999968600,705000,705022.1376951237
999979993,699000,699013.9851728014
1000366855,762000,761720.5590043265
999955942,743000,743032.7365363063
1000798243,772000,771384.2479237845
999974561,629000,629016.001538063
999961242,746000,746028.9145886716
1001261672,674000,673150.7046042206
1000991017,691000,690315.8852223746
1001236642,672000,671170.0029851684
999960242,698000,698027.7521873715
1000502905,799000,798598.3808812628
1000206696,780000,779838.8104372378
1000004470,599000,598997.3224819686
999994823,760000,760003.9345403691
1002448386,705000,703278.1037367046
1000219544,689000,688848.7673862131
1000873675,725000,724367.1385402358
1001081515,673000,672272.9267456307
999962536,844000,844031.6208006417
1000110400,758000,757916.3260376054
999979730,767000,767015.547405146
1000364921,725000,724735.5287860997
1000165691,719000,718880.8879068018
999969933,688000,688020.6867179875
1000143823,627000,626909.8359466647
999952648,706000,706033.4320950765
1000450825,667000,666699.4352271138
1000926266,636000,635411.4399871288
1000572212,696000,695601.9682065686
999955317,647000,647028.9111928388
999962409,848000,848031.8783663397
999960443,765000,765030.2623020859
1000622113,735000,734543.0312312117
1000355748,671000,670761.3779813058
1005973705,663000,659062.9523462545
1005822468,733000,728756.8366388888
1000661731,727000,726519.2396969959
1000881134,630000,629445.3742795796
1002059171,648000,646668.3991857802
1003070595,760000,757673.4915651674
1000423129,702000,701703.0890736233
1004210537,657000,654245.2760580822
1000548658,695000,694618.8917880693
1000105479,714000,713924.6959369973
1000049090,694000,693965.9332123386
1000276642,770000,769787.0445724154
1007535239,589000,584594.9374282878
1000936502,590000,589447.9807870969
1000054841,769000,768957.8295836677
1001678859,754000,752736.2619519954
1001844279,540000,539005.9226958964
1000683870,706000,705517.5177351465
999959286,686000,686027.9309411803
1000153257,638000,637902.2370168614
1000162090,723000,722882.8279224221
1000220870,692000,691847.1917107669
1000876824,566000,565504.1523870872
999969952,632000,632018.9909066387
999983456,688000,688011.3824603114
1000158021,559000,558911.6802173803
1000012044,583000,582992.9784325678
1000202770,711000,710855.859757317
1000225314,636000,635856.7325761564
1000070759,668000,667952.7363323299
999961259,696000,696026.9647806425
999985237,795000,795011.7367582698
1000192465,752000,751855.2941708073
999990603,710000,710006.6719326961
1004325609,680000,677071.2544879457
1000299550,618000,617814.9335366591
1000223043,763000,762829.8561403968
999992974,727000,727005.1079378884
999978282,647000,647014.051851178
999961776,737000,737028.1721648528
1007795399,534000,529869.4561712323
999959665,577000,577023.2742337662
999965043,702000,702024.5406718682
999978955,653000,653013.7426742145
1001100660,636000,635300.7498766407
999974154,732000,732018.9197610001
1001364503,711000,710031.1603516068
1000192151,718000,717862.0620869079
999954931,528000,528023.7975045297
1000157380,417000,416934.3828668244
1000365864,213000,212922.0994689999
999952100,475000,475022.75358989695
1000365432,496000,495818.8119399152
1000309120,454000,453859.702888643
1001127547,463000,462478.53371674323
1000394221,519000,518795.47992710763
999956034,518000,518022.77538934274
1000137989,445000,444938.60336706
1006845562,463000,459852.05425179197
1001080614,369000,368601.6838599973
1010033587,526000,520774.7611268298
1025509355,554000,540219.3527527596
1008256000,515000,510782.9757521899
1000635519,490000,489688.7934676642
999958252,496000,496020.7078725123
999963134,480000,480017.696332393
1001758616,396000,395304.81063514005
1000298633,558000,557833.4125345146
999956009,763000,763033.5666096287
1022218177,664000,649567.7879146145
1000183796,616000,615886.8024692534
1000272524,732000,731800.5667823381
1001211568,540000,539346.5449851854
1003781823,753000,750163.0162513911
1001079432,638000,637312.0649630927
1000073127,785000,784942.5995025261
1000968115,707000,706316.204687499
999960995,786000,786030.6591258592
1000111740,750000,749916.2043633246
1000042714,701000,700970.0587649099
1017031694,785000,771854.0185434968
1000020375,644000,643986.8787673451
1000362481,795000,794711.932024168
1002514106,638000,636400.022884067
1000042666,601000,600974.3588280063
999958721,896000,896036.9875108075
1000483382,860000,859584.492328929
1004454783,941000,936826.6406074748
999952638,657000,657031.1183078253
1001058334,769000,768187.001577872
999965705,776000,776026.6138327214
1001755717,641000,639876.5578494822
1003485569,678000,675644.9927582367
999967821,695000,695022.3651246873
1000128400,596000,595923.4834247283
1000510192,698000,697644.0675778744
1000112160,850000,849904.6746916865
1000291975,770000,769775.2448728782
999957441,594000,594025.2811219393
999962044,796000,796030.2141228073
1010047615,759000,751449.7224964984
1000137115,712000,711902.3875041374
999964068,764000,764027.4530344424
1001115668,699000,698221.0171542336
999963042,696000,696025.7237186972
999970128,680000,680020.3135668068
999965291,710000,710024.6442453772
1000732543,798000,797415.8585946974
1000195506,587000,586885.2604102782
1000550737,707000,706610.8432640133
999973065,662000,662017.83145029
1001116638,651000,650273.8794757699
999988775,658000,658007.3861329093
1000892721,857000,856235.6204806488
999962708,773000,773028.827791046
999965062,829000,829028.9646139657
1000094913,631000,630940.1155808098
1000152951,764000,763883.1633062891
1000122124,670000,669918.1869113416
1000058055,860000,859950.0755983611
1000150160,715000,714892.6517194178
999952320,761000,761036.2862101265
1004029441,759000,755953.9282474089
1012069149,679000,670902.7744506418
1000375881,746000,745719.6981341456
1000620351,713000,712557.9639545028
1000688314,819000,818436.6585897794
1000964913,753000,752274.1209211596
1001157651,580000,579329.3388115955
1000232271,730000,729830.4815442213
999960165,705000,705028.0847937578
1000899815,775000,774303.2703028325
999993008,752000,752005.2580207641
1002313261,737000,735299.0613580238
1000925636,760000,759297.1672073348
1012254411,630000,622373.1832174747
1000772188,701000,700459.1138777729
999959250,682000,682027.7926325498
999964906,793000,793027.8305186842
1000949222,561000,560467.9914522177
1000357607,723000,722741.5425651879
1000516494,819000,818577.2097826105
1010117730,683000,676158.807746103
1001007767,697000,696298.2935575964
1000937029,813000,812238.908587725
999961221,597000,597023.15196081
1005648873,609000,605579.1602324005
1000484778,606000,605706.3668788773
1000432664,649000,648719.3225030485
1003093178,544000,542322.4999741749
1000544011,545000,544703.675208946
1000631020,455000,454713.06696048664
1000293388,464000,463863.90789579024
