time period,count period,rate period
1003243803,3210000,3199621.059607981
1000368371,3440000,3438733.2703864546
1001778384,3350000,3344052.989668022
999963747,3090000,3090112.0258312724
1000207586,3190000,3189337.938094783
999959832,3350000,3350134.5682053356
1001229336,3430000,3425788.554801195
1001876109,3460000,3453520.818510705
1000744491,3490000,3487403.6593622374
1000239919,3540000,3539150.8904575123
999959557,3640000,3640147.2184739565
1001262020,3560000,3555512.871645726
1001716924,3410000,3404155.324024455
1000517754,3390000,3388245.722224335
999959507,3420000,3420138.491667943
1000457071,3390000,3388451.2372045596
999967765,3340000,3340107.66837069
999962749,2880000,2880107.2868765434
1001064307,3390000,3386395.835207817
999959578,3330000,3330134.6107012336
999959531,3480000,3480140.8378195656
999959603,3380000,3380136.5473761046
1000895746,3250000,3247091.430839191
1000769723,3490000,3487315.732872146
1000101796,3360000,3359658.000254206
1001516041,3440000,3434792.7134199543
1001900932,3470000,3463416.281161818
1000365342,3550000,3548703.5095624095
