time period,count period,rate period
1002183302,2140000,2135337.912465039
1000664375,2170000,2168559.2634393526
1000293771,2200000,2199353.893607321
1000108432,2200000,2199761.4754636926
1003500837,2120000,2112604.117339665
1000252180,2260000,2259430.2168879053
1000235269,2320000,2319454.30430528
1000150636,2260000,2259659.613914398
1002976891,1910000,1904331.0141429766
1001890941,2220000,2215810.033958576
1000600507,1960000,1958823.7126487885
1000246253,1960000,1959517.462946197
1000106528,2210000,2209764.598196883
1000357521,2310000,2309174.4216515967
1011919367,1640000,1620682.4906040167
1002725932,1600000,1595650.3656075788
1000110964,2420000,2419731.4969141763
1004297971,2450000,2439515.035124969
1001869971,2050000,2046173.7144929357
1000107991,2240000,2239758.126280185
1001392790,1960000,1957273.928445201
1001611462,1820000,1817071.8577499664
1000830087,2330000,2328067.5014319387
1005201004,1660000,1651411.0047586067
1000107171,2010000,2009784.6093736289
1000109262,2380000,2379739.984849775
1000107236,2520000,2519729.794255783
1004097172,2140000,2131267.829126004
1000207516,1810000,1809624.4739676602
1000107164,1910000,1909795.3386923242
1002625021,1950000,1944894.610803853
1000563165,2270000,2268722.3349862173
1000533369,2320000,2318763.2435675417
1000202464,1590000,1589678.147403564
1000441270,2070000,2069086.9739909868
1000390719,2510000,2509019.678340298
1000111639,2290000,2289744.375227694
1000527740,1860000,1859018.9213544442
1002012663,2070000,2065842.155928922
1002483881,2030000,2024970.214957501
1000361084,2230000,2229195.0733261434
1001905646,2470000,2465302.007091394
1001549681,2080000,2076781.6509343984
1000149446,1760000,1759737.0143421546
1000111324,2420000,2419730.6259078016
1003540664,2290000,2281920.486283354
1000339443,1710000,1709419.7494319933
1002225263,2270000,2264959.868607902
1002267207,1940000,1935611.567903967
1003648512,1780000,1773529.257222672
1000726407,2120000,2118461.1350023067
1003447541,1770000,1763918.8175558047
1000839518,2060000,2058272.0435705257
1001857055,2490000,2485384.5042794053
1000108717,2500000,2499728.237045253
1000122092,2070000,2069747.300412598
1002376515,2090000,2085044.8596154512
1002876330,1940000,1934435.923918954
1001534373,2030000,2026889.9947181344
1002659859,2070000,2064508.697959155
1003021869,2160000,2153492.427990122
1015784683,1810000,1781873.6886781745
1004977484,1550000,1542323.111390225
1000956972,2290000,2287810.6292864704
1000818013,2400000,2398038.3734360305
1003046397,1930000,1924138.3108223255
1002618584,2080000,2074567.5705528317
1000295259,1830000,1829459.8355184246
1003669398,1570000,1564260.1070915584
1003359261,1690000,1684341.856092162
1000217023,1870000,1869594.255045987
1001262297,2270000,2267138.1982537587
1004132891,2280000,2270615.7924270206
1002467210,2260000,2254437.8284452814
1000110728,2090000,2089768.6041020053
1004985224,1760000,1751269.5291129975
1000108635,1460000,1459841.410128411
1001328911,1440000,1438088.9078314048
1001906604,1520000,1517107.4768162721
1002741146,2270000,2263794.608464187
1007731574,1910000,1895345.9922056587
1000342931,1850000,1849365.7951385074
1000296391,2330000,2329309.6135943173
1000846018,2250000,2248098.068568226
1002485539,1920000,1915239.5972865997
1001142681,1990000,1987728.6602268035
1001613223,2110000,2106601.5818762807
1001706518,1980000,1976626.8506999973
1000213602,2070000,2069557.9382852663
1000283263,2440000,2439309.0340051004
1001843292,1380000,1377460.9372740104
1000106309,2110000,2109775.711853849
1004169553,2290000,2280491.370365219
1003119757,2000000,1993779.8912278828
1004195060,1930000,1921937.3574691752
1001407261,1910000,1907315.908706997
1000265478,1960000,1959479.8012213313
1000113011,2120000,2119760.443752491
1000702573,2410000,2408307.9878320647
1000719645,2080000,2078504.2148343155
1003555318,2250000,2242028.8743863744
1000110886,2350000,2349739.446791703
1004386354,2130000,2120697.8684220556
1014937580,1460000,1438512.1102718455
1004442496,1750000,1742260.0168442097
1003906707,1870000,1862722.8874565132
1003789061,1730000,1723469.6682951797
1000105080,1970000,1969793.014150073
1000705824,2140000,2138490.6020093276
1001749297,2300000,2295983.642701773
1001291046,2440000,2436853.909507546
1003932111,2330000,2320874.065557208
1001208089,1600000,1598069.3899487662
1000345445,1450000,1449499.2777220074
1000107738,1460000,1459842.7194650902
1003754636,1630000,1623902.8359516338
1003605282,1590000,1584288.1942903125
1000105102,2450000,2449742.5271609104
1000108803,1420000,1419845.516548263
1000180032,2380000,2379571.600965535
1003168134,2320000,2312673.1415892444
1000110033,2290000,2289748.052152578
1000463776,1850000,1849142.4121286727
1001184716,2310000,2307266.5444085742
1001712270,1610000,1607247.9575397433
1000126819,2070000,2069737.5179577104
1002368971,1460000,1456549.476530035
1001909240,2010000,2006169.740484677
1002520419,2130000,2124645.004362749
1003111465,2090000,2083517.2091269041
1002227914,2220000,2215065.025618514
1001774459,1870000,1866687.639318223
1002236188,2040000,2035448.3548143446
1002009771,1870000,1866249.266345727
1012912509,1940000,1915269.0708847786
