runtime,nr. points,bytes,time taken,mbs,ps
343658960,10000,161640,0.035953099,4.450242244764491,278140.1402977807
424462842,10000,161640,0.029436044,5.4355130057558005,339719.56285973755
490183412,10000,161640,0.028929262,5.5307321700774805,345670.7606298425
554863176,10000,161640,0.028858717,5.544252019242575,346515.7512026609
619321706,10000,161640,0.028645309,5.58555678348591,349097.29896786937
683272554,10000,161640,0.028106702,5.692592464245716,355787.02901535726
745795688,10000,161640,0.029080031,5.502057408398224,343878.588024889
810694108,10000,161640,0.030893928,5.179011228355293,323688.2017722058
879365866,10000,161640,0.029704846,5.386326527328234,336645.40795801464
945833558,10000,161640,0.0279817,5.718022850648817,357376.42816555104
1008352054,10000,161640,0.029379189,5.446031883317134,340376.99270732084
1074098548,10000,161640,0.02923136,5.473573586723299,342098.34917020623
1141999058,10000,161640,0.029059433,5.505957394282262,344122.3371426414
1206627388,10000,161640,0.029492898,5.425034867716289,339064.67923226807
1272249086,10000,161640,0.028339955,5.645739381025834,352858.7113141146
1335529390,10000,161640,0.028579181,5.598480936175183,349905.05851094896
1399059272,10000,161640,0.029610317,5.403522022408608,337720.126400538
1464862128,10000,161640,0.029195294,5.480335289653189,342520.9556033243
1530295428,10000,161640,0.029193021,5.480761994450661,342547.6246531663
1595177614,10000,161640,0.029315005,5.457955746553685,341122.2341596053
1660389002,10000,161640,0.026104696,6.129165419126123,383072.83869538264
1718637864,10000,161640,0.023590886,6.782280241615343,423892.51510095893
1771033158,10000,161640,0.024425937,6.550414012776663,409400.87579854147
1825265624,10000,161640,0.023470014,6.817209397489068,426075.58734306676
1877672092,10000,161640,0.023540765,6.796720497400997,424795.0310875623
1929974616,10000,161640,0.024173113,6.6189240914068455,413682.75571292784
1983703042,10000,161640,0.023230249,6.887571459091979,430473.2161932487
2035488962,10000,161640,0.023227206,6.888473800938434,430529.6125586521
2087109484,10000,161640,0.02385655,6.706753491179572,419172.0931987232
2140091232,10000,161640,0.023331634,6.857642289434165,428602.6430896353
2192176006,10000,161640,0.023645129,6.766721382657713,422920.0864161071
2244722672,10000,161640,0.024360615,6.567978681983194,410498.6676239496
2298850200,10000,161640,0.023640651,6.76800313155505,423000.1957221906
2351610000,10000,161640,0.023915103,6.6903328829484865,418145.8051842804
2404733652,10000,161640,0.023885623,6.698590193774724,418661.8871109202
2457795920,10000,161640,0.023333891,6.856978975345347,428561.1859590842
2509898078,10000,161640,0.023336963,6.8560763454953415,428504.77159345883
2561747758,10000,161640,0.024015254,6.662432135841661,416402.0084901038
2615113506,10000,161640,0.02356712,6.789119756677948,424319.98479237175
2667735090,10000,161640,0.023675526,6.7580335913128184,422377.09945705114
2720330370,10000,161640,0.024066257,6.648312614628855,415519.53841430345
2773790540,10000,161640,0.023869605,6.703085367353167,418942.83545957296
2827158568,10000,161640,0.023771383,6.730782134131615,420673.88338322594
2879954920,10000,161640,0.023713593,6.747185042772725,421699.0651732953
2932655094,10000,161640,0.02345858,6.820532189075383,426283.26181721146
2984937762,10000,161640,0.023257251,6.879574890428795,429973.4306517997
3036685578,10000,161640,0.02427519,6.591091563032051,411943.22268950316
3090586668,10000,161640,0.023667912,6.760207660058902,422512.97875368135
3143444872,10000,161640,0.023725922,6.743678917936255,421479.93237101595
3196138878,10000,161640,0.024291071,6.586782443639475,411673.9027274672
3250171416,10000,161640,0.023628631,6.771446047805308,423215.3779878318
3302983366,10000,161640,0.023432334,6.828171704961187,426760.7315600742
3355031264,10000,161640,0.024347922,6.571402684795852,410712.66779974074
3409110460,10000,161640,0.02359901,6.779945429914221,423746.5893696388
3461882916,10000,161640,0.023616744,6.774854315226519,423428.39470165747
3514347590,10000,161640,0.023747566,6.7375325959721515,421095.78724825947
3567143084,10000,161640,0.023334838,6.85670069790071,428543.79361879436
3619161644,10000,161640,0.023192237,6.898860166011584,431178.760375724
3670713206,10000,161640,0.024070859,6.647041553440199,415440.09709001245
3724165756,10000,161640,0.023328331,6.858613245842576,428663.327865161
3776250038,10000,161640,0.023478542,6.814733214694506,425920.82591840666
3828411184,10000,161640,0.024138259,6.628481366448177,414280.08540301106
3882062186,10000,161640,0.023252513,6.880976692712741,430061.0432945463
3933908162,10000,161640,0.023564057,6.790002247915119,424375.14049469493
3986259264,10000,161640,0.024386267,6.561069802114444,410066.86263215274
4040405100,10000,161640,0.023544929,6.79551847448765,424719.9046554781
4092750578,10000,161640,0.023506269,6.80669484383081,425418.4277394256
4144975626,10000,161640,0.024426923,6.550149603370019,409384.3502106262
4199210468,10000,161640,0.023492557,6.810667736168523,425666.7335105327
