time period,count period,rate period
1002366446,697000,695354.4811694545
1000211165,536000,535886.8394555463
1000621477,680000,679577.6581157673
1000111171,501000,500944.30952016637
1000110880,700000,699922.392605108
1006320030,759000,754233.2234011084
1000488631,625000,624694.7547772784
1000154403,637000,636901.660472918
1001411190,765000,763921.9609679017
1000521764,676000,675647.4714726945
1000629397,574000,573638.9533636698
1000356510,677000,676758.7287456149
1000112359,493000,492944.61323620134
1000187543,685000,684871.5571335605
1000113732,754000,753914.2558238567
1000550941,686000,685622.2625850291
1001035327,732000,731242.9244567509
1000757595,712000,711461.0007031723
1000508841,634000,633677.5588772633
1000253856,757000,756807.8797788708
1000560967,770000,769568.297580811
1003545175,604000,601866.2787153553
1000676163,732000,731505.3831256296
1000112160,697000,696921.833247183
1000473772,722000,721658.0985993104
1000109414,705000,704922.8715689302
1004655229,598000,595229.0723607034
1000614763,490000,489698.9512036612
1001192054,737000,736122.5022267306
1001347089,673000,672094.628718694
1000563753,780000,779560.5204179329
1000108767,738000,737919.7386837826
1000538102,666000,665641.8168070925
1000176368,692000,691877.974865329
1000115165,590000,589932.0604742555
1000404751,583000,582764.1256373841
1000776881,754000,753414.68644498
1000302409,762000,761769.6340067497
1000101107,692000,691930.0410293415
1000134836,699000,698905.7623426288
1000655489,564000,563630.5463767861
1000998972,745000,744256.5085871037
1000502630,745000,744625.7287699484
1000193369,793000,792846.6880287826
1009270225,817000,809495.791872786
1000277712,439000,438878.11828001624
1000373427,711000,710734.5925133215
1003882941,721000,718211.2281754571
1001055325,773000,772185.0937659214
1000120551,732000,731911.7673045397
1000993331,727000,726278.564986763
1000175463,641000,640887.5479481744
1000100289,769000,768922.8854927368
1000658950,647000,646573.9401021696
1001107667,711000,710213.3201423179
1000871985,649000,648434.5747773128
1000110875,680000,679924.6133584938
1000111783,747000,746916.5074320498
1000117520,577000,576932.1989279819
1001383002,696000,695038.7600048358
1000363749,739000,738731.2872330004
1000556925,556000,555690.522056004
1000234143,683000,682840.1177663059
1001071339,609000,608348.252791203
1000117923,713000,712915.9308146907
1006556048,794000,788828.4031253469
1000723669,585000,584576.9597760957
1004877662,733000,729442.0283371769
1000514632,611000,610685.7215857289
1000113764,734000,733916.5067225293
1000497235,618000,617692.8614900169
1001951769,680000,678675.3824275149
1000572370,675000,674613.8712585078
1000412035,553000,552772.2384907134
1000374077,674000,673747.9663819798
1000799597,780000,779376.8126387445
1000814044,756000,755385.0833052458
1000524096,679000,678644.3252237276
1000986427,625000,624384.0906745881
1000257705,765000,764802.9064669888
1000474247,724000,723656.8079298097
1000979331,671000,670343.5118182276
1000536347,608000,607674.0758324495
1000262434,717000,716811.8841899845
1000171181,697000,696880.7072636499
1000114209,656000,655925.0874516873
1000524258,664000,663652.0750904173
1000098821,716000,715929.2511554717
1000215963,713000,712846.0516281523
1000928076,681000,680368.5662624973
1000879546,602000,601470.9786066505
1000109249,652000,651928.7774329942
1000350149,694000,693757.0816516168
1000109942,599000,598934.151981463
1000662819,360000,359761.54321368865
